name,funding_total_usd,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,main_category,funding_total_category
IP-Only,,SWE,Uppsala,1,2013-07-01,2013-07-01,1999,1,Software,3
Kickstarter,10000000.0,USA,Brooklyn,1,2011-03-18,2011-03-18,2009,1,Crowdfunding,1
Bee,4600000.0,USA,San Francisco,1,2015-11-30,2015-11-30,2012,1,Finance,1
Campfire,,DNK,San Francisco,1,2007-04-04,2007-04-04,2007,2,Software,3
Yapp,1000000.0,USA,New York,2,2011-11-16,2012-04-05,2011,1,Mobile,0
Glass & Marker,60000.0,USA,Oakland,1,2011-11-01,2011-11-01,2011,1,Advertising,0
Jurni,100000.0,USA,Dublin,1,2014-12-31,2014-12-31,2013,1,Big Data,0
Lantech,,NLD,Amersfoort,1,2009-11-04,2009-11-04,1983,1,Information Technology,3
MicroGREEN Polymers,51414039.0,USA,Arlington,5,2010-03-22,2014-07-08,2002,1,Clean Technology,1
Ambassador Software Works,,USA,Columbus,1,2014-12-03,2014-12-03,2012,1,Healthcare Services,3
Beeken Biomedical,687462.0,USA,Raleigh,1,2015-03-31,2015-03-31,2010,1,Biotechnology,0
Glimpse,80000.0,USA,New York,1,2014-02-04,2014-02-04,2012,1,iOS,0
PBworks,13343716.0,USA,San Mateo,8,2006-09-11,2015-08-25,2005,1,Cloud Computing,1
Rebit,6700000.0,USA,Longmont,2,2008-12-01,2010-01-22,2007,1,Flash Storage,1
Socialthing,415000.0,USA,Boulder,2,2007-08-01,2007-10-23,2007,2,Finance,0
Lumimous Banking,,ZAF,Johannesburg,1,2009-12-28,2009-12-28,2012,2,Information Technology,3
TAPP,,USA,San Francisco,1,2014-03-12,2014-03-12,2012,1,Photography,3
Horizon Oilfield Services,3500000.0,USA,San Francisco,1,2013-10-31,2013-10-31,2012,1,Oil and Gas,1
QuitePeople,130748.0,ITA,Milan,1,2013-06-05,2013-06-05,2012,1,Flash Sales,0
